sample_id,area,pred_area,iou,baseline_SAD,flip_SAD,ttagf_SAD,bsp_SAD,sad_gain,smooth_gain,bsp_gain,score,image_path,gt_path,baseline_alpha,flip_alpha,ttagf_alpha
0008_4,0.05967595002602811,0.05959641968881948,0.9937516995498081,1.5206550359725952,1.4503450393676758,1.2138903141021729,1.2138903141021729,0.30676472187042236,0.23645472526550293,0.0,6.035189787652244,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0008.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0008_4.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0008_4/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0008_4/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0008_4/alpha.png
0028_12,0.05879670643357745,0.05890079927553351,0.9912197071570419,2.2643609046936035,2.2585058212280273,2.233266830444336,2.233266830444336,0.031094074249267578,0.025238990783691406,0.0,5.94357896710818,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0028.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0028_12.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0028_12/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0028_12/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0028_12/alpha.png
0099_0,0.05477909262663399,0.05465877757352941,0.9941904418520802,1.3998156785964966,1.1910902261734009,1.1549960374832153,1.1549960374832153,0.24481964111328125,0.03609418869018555,0.0,5.910741495398066,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0099.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0099_0.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0099_0/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0099_0/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0099_0/alpha.png
0013_5,0.054546855291824334,0.05350303864235753,0.9588847095814412,8.90428638458252,6.536901950836182,6.475941181182861,6.475941181182861,2.428345203399658,0.06096076965332031,0.0,5.909997572973582,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0013.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0013_5.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0013_5/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0013_5/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0013_5/alpha.png
0087_29,0.050189788304702415,0.05012905604719764,0.9968051807879115,1.3257646560668945,1.0320509672164917,0.9288626909255981,0.9288626909255981,0.3969019651412964,0.10318827629089355,0.0,5.872912188154079,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0087.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0087_29.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0087_29/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0087_29/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0087_29/alpha.png
0099_1,0.05517578125,0.055811823427287584,0.9839978549709337,3.1833765506744385,3.1509134769439697,3.0459372997283936,3.0459372997283936,0.13743925094604492,0.10497617721557617,0.0,5.871576004540135,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0099.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0099_1.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0099_1/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0099_1/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0099_1/alpha.png
0087_11,0.04738128289663948,0.04700098328416912,0.9910773524903338,1.4058784246444702,1.2393451929092407,1.246584177017212,1.246584177017212,0.1592942476272583,-0.007238984107971191,0.0,5.757818350539175,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0087.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0087_11.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0087_11/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0087_11/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0087_11/alpha.png
0003_6,0.051905836080744984,0.051959699809127194,0.9706782079069385,6.011882781982422,6.150941371917725,5.992803573608398,5.992803573608398,0.019079208374023438,0.15813779830932617,0.0,5.751642203878896,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0003.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0003_6.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0003_6/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0003_6/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0003_6/alpha.png
0041_1,0.04017258083174273,0.040271993753253514,0.9963129093029515,0.7475921511650085,0.7349686026573181,0.5492940545082092,0.5492940545082092,0.19829809665679932,0.1856745481491089,0.0,5.704106317739503,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0041.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0041_1.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0041_1/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0041_1/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0041_1/alpha.png
0041_4,0.05353982300884956,0.05710422812192724,0.9375807145931985,11.290471076965332,9.936964988708496,9.908089637756348,9.908089637756348,1.3823814392089844,0.028875350952148438,0.0,5.696599541773966,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0041.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0041_4.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0041_4/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0041_4/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0041_4/alpha.png
0028_9,0.04349702732498622,0.042908890463816046,0.9843008273430083,3.696709632873535,3.2628233432769775,3.217019557952881,3.217019557952881,0.4796900749206543,0.04580378532409668,0.0,5.69399055518995,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0028.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0028_9.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0028_9/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0028_9/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0028_9/alpha.png
0050_27,0.044025102666435306,0.044452758979698075,0.9884713815655848,1.4115136861801147,1.2475765943527222,1.2963608503341675,1.2963608503341675,0.11515283584594727,-0.04878425598144531,0.0,5.685320845802855,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0050.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0050_27.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0050_27/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0050_27/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0050_27/alpha.png
0048_1,0.04095270113945283,0.04096969171149285,0.9924475549068913,1.048349142074585,0.9780588150024414,0.9512274265289307,0.9512274265289307,0.0971217155456543,0.026831388473510742,0.0,5.657918808463692,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0048.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0048_1.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0048_1/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0048_1/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0048_1/alpha.png
0050_23,0.042098299496789865,0.04111971484759095,0.9749062738604874,3.907102108001709,3.1650314331054688,3.1367805004119873,3.1367805004119873,0.7703216075897217,0.028250932693481445,0.0,5.643445609394808,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0050.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0050_23.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0050_23/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0050_23/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0050_23/alpha.png
0087_15,0.038894672913413156,0.03856715252472671,0.9870361097201358,1.5186001062393188,1.4418509006500244,1.426835298538208,1.426835298538208,0.09176480770111084,0.015015602111816406,0.0,5.593769402196017,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0087.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0087_15.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0087_15/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0087_15/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0087_15/alpha.png
0087_12,0.03787668459714269,0.03759652090924866,0.989906403095751,1.2992274761199951,1.1919844150543213,1.1842979192733765,1.1842551231384277,0.11492955684661865,0.007686495780944824,4.279613494873047e-05,5.5915417558017175,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0087.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0087_12.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0087_12/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0087_12/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0087_12/alpha.png
0058_34,0.03115817861067731,0.030936939672624213,0.9876646069105973,1.4038077592849731,1.1959255933761597,1.238066554069519,1.238066554069519,0.1657412052154541,-0.042140960693359375,0.0,5.470885307814845,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0058.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0058_34.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0058_34/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0058_34/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0058_34/alpha.png
0100_1,0.2907947249696339,0.2932641419399618,0.9884935101378711,10.75899600982666,9.792309761047363,9.767176628112793,9.767176628112793,0.9918193817138672,0.025133132934570312,0.0,5.026839727813379,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0100.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0100_1.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0100_1/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0100_1/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0100_1/alpha.png
0009_1,0.27807916473676086,0.27826797385620916,0.9961673000642822,4.707803726196289,4.476180076599121,4.433862686157227,4.433862686157227,0.2739410400390625,0.04231739044189453,0.0,5.011215261612914,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0009.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/fine/0009_1.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0009_1/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0009_1/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0009_1/alpha.png
