ablation,claim_role,method,display_method,n,ok,failure_rate,SAD,raw_SAD,MSE,MSE_x1000,MAE,MAE_x1000,Boundary_SAD,Boundary_MSE,Gradient_official_zim,Connectivity_official_zim,Gradient_approx,Connectivity_approx
B3_PromptMatte_TTA_GF,main_method,zim_vitb_flip_tta_bbox_guided_r1,PromptMatte-TTA-GF,706,706,0.0,2.123826205445501,2123.8262082497054,0.00044581581196763713,0.44581581430150874,0.0007532680443293775,0.7532680459431355,0.6385563802047931,0.07384629357176128,1.1191785267631833,1.4704120114445687,0.415287072482722,1.9612067988668556
B1_zim_vitb_flip_tta_bbox,baseline_or_component,zim_vitb_flip_tta_bbox,zim_vitb_flip_tta_bbox,706,706,0.0,2.139644727490779,2139.6447340773457,0.0004534709738699304,0.453470971693203,0.0007587811859034691,0.7587811886187822,0.6691997890748485,0.08128231263418732,nan,nan,0.4613386263632909,1.958032577903683
B4_risk_gated_adaptive_refinement_failed,failed_ablation,risk_gated_adaptive_refinement,risk_gated_adaptive_refinement,706,706,0.0,2.18041854178686,2180.4185439696057,0.0004826553000170745,0.48265530367674725,0.0007745563890257317,0.7745563837517548,0.6482386623559356,0.07791800136089579,nan,nan,0.4544086380684933,2.098790368271955
B2_zim_vitb_bbox_guided_r1,baseline_or_component,zim_vitb_bbox_default_guided_r1,zim_vitb_bbox_default_guided_r1,706,706,0.0,2.297810662759431,2297.810677558099,0.0005681659373770037,0.5681659380018859,0.0008176421130185458,0.8176421160907313,0.6989738599373497,0.09244120454253422,nan,nan,0.45012410185576834,2.1996501416430596
B0_zim_vitb_bbox_default,baseline_or_component,zim_vitb_bbox_default,zim_vitb_bbox_default,706,706,0.0,2.3201066981420637,2320.1066990168842,0.0005795364576837008,0.5795364588652091,0.0008254798861475571,0.8254798914308504,0.7366231441413377,0.1037029594825396,1.2688404337192576,0.9228237122297287,0.510187134452734,2.1985509915014165
B5_oracle_best_candidate_diagnostic_only,diagnostic_only,oracle_best_candidate,oracle_best_candidate_diagnostic_only,706,706,0.0,2.0025864204988095,,,,,,,,,,,
